emi,month,n_minutes,frac_clear,frac_mostly_clear,frac_partly_cloudy,frac_overcast,frac_highly_variable,frac_unknown
EMI01,2024-12,8013,0,0,0,0,0,1
EMI01,2025-01,22568,0.0628766394895,0.0295994328252,0.111263736264,0.171393123006,0.189294576391,0.435572492024
EMI01,2025-02,20330,0.108509591736,0.0516969995081,0.202065912445,0.296606000984,0.266896212494,0.0742252828333
EMI01,2025-03,22464,0.0886306980057,0.0508814102564,0.189102564103,0.297587250712,0.296296296296,0.0775017806268
EMI01,2025-04,21693,0.0846355967363,0.0520905361176,0.18466786521,0.299820218504,0.302678283317,0.0761075001152
EMI01,2025-05,22383,0.129830675066,0.0374391279096,0.132377250592,0.23245320109,0.38940267167,0.078497073672
EMI01,2025-06,21648,0.0667036215817,0.0304416112343,0.178723207687,0.224501108647,0.351949371766,0.147681079084
EMI01,2025-07,22375,0.118301675978,0.0297206703911,0.14851396648,0.160804469274,0.465340782123,0.0773184357542
EMI01,2025-08,22401,0.0573635105576,0.0294629704031,0.162671309317,0.314316325164,0.313111021829,0.123074862729
EMI01,2025-09,21718,0.0890505571415,0.0382171470669,0.173266414955,0.27723547288,0.351091260705,0.0711391472511
EMI01,2025-10,22496,0.0970839260313,0.032850284495,0.148115220484,0.315745021337,0.334281650071,0.0719238975818
EMI01,2025-11,21826,0.124759461193,0.0651974709063,0.205947035646,0.273068817007,0.253459177128,0.0775680381197
EMI01,2025-12,22581,0.113369647048,0.0635047163545,0.206589610735,0.317612151809,0.2233736327,0.0755502413534
EMI01,2026-01,22568,0.111219425736,0.0684597660404,0.234136830911,0.217210209146,0.252215526409,0.116758241758
EMI01,2026-02,20332,0.0727916584694,0.0339858351367,0.205341333858,0.360072791658,0.253787133583,0.0740212472949
EMI01,2026-03,22463,0.132840671326,0.0565374170859,0.195922183146,0.23385122201,0.307082758314,0.0737657481191
EMI01,2026-04,21694,0.129943763253,0.046925417166,0.0692818290772,0.178574721121,0.339771365354,0.235502904029
EMI01,2026-05,22383,0.040521824599,0.0149220390475,0.0474020461958,0.145288835277,0.163561631595,0.588303623286
EMI01,2026-06,21648,0.0682280118256,0.0159830007391,0.0591740576497,0.103427568367,0.371720251293,0.381467110126
EMI02,2024-12,8013,0,0,0,0,0,1
EMI02,2025-01,22568,0.0599078341014,0.0277383906416,0.108605104573,0.153580290677,0.177064870613,0.473103509394
EMI02,2025-02,20330,0.106886374816,0.0594687653714,0.206984751599,0.295474667978,0.257107722577,0.0740777176586
EMI02,2025-03,22464,0.0811520655271,0.0507478632479,0.19391025641,0.261262464387,0.276086182336,0.136841168091
EMI02,2025-04,21693,0.0881390310238,0.0500161342369,0.181210528742,0.27432812428,0.290785045867,0.11552113585
EMI02,2025-05,22383,0.160300227851,0.0374391279096,0.124603493723,0.227002635929,0.372291471206,0.0783630433811
EMI02,2025-06,21648,0.0961751662971,0.032381744272,0.178353658537,0.221729490022,0.344881744272,0.1264781966
EMI02,2025-07,22375,0.140648044693,0.0303463687151,0.138770949721,0.152357541899,0.46087150838,0.0770055865922
EMI02,2025-08,22401,0.0658006339003,0.0307575554663,0.163831971787,0.315298424177,0.320967813937,0.103343600732
EMI02,2025-09,21718,0.097799060687,0.038769684133,0.169767013537,0.260705405654,0.362280136292,0.0706786996961
EMI02,2025-10,22496,0.109797297297,0.0356952347084,0.150826813656,0.297119487909,0.334681721195,0.0718794452347
EMI02,2025-11,21826,0.157014569779,0.0595161733712,0.210116374966,0.214560615779,0.281544946394,0.0772473197104
EMI02,2025-12,22581,0.125548027102,0.056773393561,0.21681944998,0.282538417253,0.242194765511,0.0761259465923
EMI02,2026-01,22568,0.135501595179,0.0631868131868,0.247385678837,0.205467919178,0.276054590571,0.0724034030486
EMI02,2026-02,20332,0,0,0,0,0,1
EMI02,2026-03,22463,0.000267105907492,0.000267105907492,0.000178070604995,0,0,0.99928771758
EMI02,2026-04,21694,0,0,0,0,0,1
EMI02,2026-05,22383,0.000357414108922,0.000357414108922,0.00120627261761,0.0154134834473,0.000402090872537,0.982263324845
EMI02,2026-06,21648,0.102642276423,0.0163525498891,0.0650868440503,0.0947431633407,0.349501108647,0.37167405765
EMI03,2024-12,8013,0,0,0,0,0,1
EMI03,2025-01,22568,0.0548121233605,0.0272952853598,0.105370436016,0.154289259128,0.185306628855,0.472926267281
EMI03,2025-02,20330,0.105951795376,0.0538612887359,0.197393015248,0.294490900148,0.274077717659,0.0742252828333
EMI03,2025-03,22464,0.011396011396,0.0125979344729,0.0584045584046,0.0402866809117,0.0324519230769,0.844862891738
EMI03,2025-04,21693,0,0,0,0.00138293458719,0,0.998617065413
EMI03,2025-05,22383,0,0,0,0,0,1
EMI03,2025-06,21648,0.0191241685144,0.0084534368071,0.0223115299335,0.0326589061345,0.0781596452328,0.839292313378
EMI03,2025-07,22375,0.101497206704,0.0455418994413,0.167061452514,0.160357541899,0.448357541899,0.0771843575419
EMI03,2025-08,22401,0.0593277085844,0.0328556760859,0.170260256239,0.3142716843,0.301727601446,0.121557073345
EMI03,2025-09,21718,0.0884980200755,0.0388157288885,0.171792982779,0.264619209872,0.365042821623,0.0712312367621
EMI03,2025-10,22496,0.0735241820768,0.0351618065434,0.172697368421,0.301609174964,0.34481685633,0.0721906116643
EMI03,2025-11,21826,0.109639879043,0.061623751489,0.225144323284,0.226381380005,0.300009163383,0.0772015027948
EMI03,2025-12,22581,0.0817501439263,0.0827244143306,0.217218015145,0.3216863735,0.221247951818,0.0753731012798
EMI03,2026-01,22568,0.0972172988302,0.0660669975186,0.261476426799,0.23147819922,0.271180432471,0.0725806451613
EMI03,2026-02,20332,0.0715128860909,0.0343793035609,0.200177060791,0.379942947078,0.240851859138,0.0731359433405
EMI03,2026-03,22463,0.123625517518,0.0622356764457,0.206383831189,0.245158705427,0.289453768419,0.0731425010016
EMI03,2026-04,21694,0.132709504932,0.0456808334102,0.112888356228,0.259703143726,0.37581819858,0.0731999631234
EMI03,2026-05,22383,0.0925702542108,0.0404324710718,0.137738462226,0.293615690479,0.357414108922,0.0782290130903
EMI03,2026-06,21648,0.126293422025,0.0305801921656,0.107677383592,0.148189209165,0.508407243163,0.0788525498891
EMI04,2024-12,8013,0,0,0,0,0,1
EMI04,2025-01,22568,0.0653137185395,0.0303084012761,0.109358383552,0.170684154555,0.188496986884,0.435838355193
EMI04,2025-02,20330,0.117757009346,0.0574520413182,0.196015740285,0.29104771274,0.263502213478,0.0742252828333
EMI04,2025-03,22464,0.0779469373219,0.0495904558405,0.189636752137,0.259748931624,0.286680911681,0.136396011396
EMI04,2025-04,21693,0.0925183238833,0.0478034388973,0.18139492002,0.277416678191,0.28184206887,0.119024570138
EMI04,2025-05,22383,0.152303087164,0.0332395121297,0.126256533977,0.227985524729,0.381450207747,0.0787651342537
EMI04,2025-06,21648,0.097145232816,0.0341832963784,0.179693274205,0.232631189948,0.377355875831,0.0789911308204
EMI04,2025-07,22375,0.137832402235,0.0299888268156,0.137877094972,0.15494972067,0.462212290503,0.0771396648045
EMI04,2025-08,22401,0.0640149993304,0.0303111468238,0.162983795366,0.319762510602,0.320253560109,0.102673987768
EMI04,2025-09,21718,0.0953126438899,0.039138042177,0.159222764527,0.2598305553,0.376185652454,0.0703103416521
EMI04,2025-10,22496,0.109263869132,0.0334726173542,0.150826813656,0.295030227596,0.339349217639,0.072057254623
EMI04,2025-11,21826,0.137725648309,0.057683496747,0.211582516265,0.221799688445,0.294694401173,0.0765142490608
EMI04,2025-12,22581,0.107302599531,0.0639475665382,0.217350870201,0.297551038484,0.238519108985,0.0753288162615
EMI04,2026-01,22568,0.12305033676,0.0618131868132,0.239631336406,0.210386387806,0.292759659695,0.0723590925204
EMI04,2026-02,20332,0.0813495966949,0.0319693094629,0.215669879992,0.336563053315,0.261705685619,0.0727424749164
EMI04,2026-03,22463,0.158749944353,0.0500823576548,0.191559453323,0.21960557361,0.306904687709,0.0730979833504
EMI04,2026-04,21694,0.190605697428,0.026735502904,0.0799299345441,0.241725822808,0.388125749055,0.0728772932608
EMI04,2026-05,22383,0.129160523612,0.0267613814055,0.119242282089,0.280659429031,0.365813340482,0.0783630433811
EMI04,2026-06,21648,0.142045454545,0.0233739837398,0.0976071692535,0.13964338507,0.518431263858,0.0788987435329
EMI05,2024-12,8013,0.0707600149757,0.0757519031574,0.298265318857,0.215399975041,0.180831149382,0.158991638587
EMI05,2025-01,22568,0.0951347040057,0.0451081176888,0.19102268699,0.312211981567,0.285404112017,0.0711183977313
EMI05,2025-02,20330,0,0,0,0,0,1
EMI05,2025-03,22464,0,0,0,0,0,1
EMI05,2025-04,21693,0,0,0,0,0,1
EMI05,2025-05,22383,0,0,0,0,0,1
EMI05,2025-06,21648,0,0,0,0,0,1
EMI05,2025-07,22375,0.0757541899441,0.00549720670391,0.024625698324,0.012156424581,0.258145251397,0.62382122905
EMI05,2025-08,22401,0.00178563456989,4.46408642471e-05,0,0.011026293469,0.0140618722378,0.973081558859
EMI05,2025-09,21718,0.0020259692421,0.0019338797311,0.00805783221291,0.0593516898425,0.0133529790957,0.915277649876
EMI05,2025-10,22496,0,0,0,0.0987286628734,0,0.901271337127
EMI05,2025-11,21826,0,0,0,0.000733070649684,0,0.99926692935
EMI05,2025-12,22581,0.00447278685621,0.0122226650724,0.0933971037598,0.103892653115,0.0247553252735,0.761259465923
EMI05,2026-01,22568,0.128278979085,0.0585342077278,0.209101382488,0.244682736618,0.285359801489,0.0740428925913
EMI05,2026-02,20332,0.0918748770411,0.0369860318709,0.213899272083,0.323480228212,0.264066496164,0.0696930946292
EMI05,2026-03,22463,0.16293460357,0.0489248987223,0.191737523928,0.209232960869,0.315274006143,0.0718960067667
EMI05,2026-04,21694,0.195722319535,0.0208813496819,0.0906241357057,0.22849635844,0.391214160597,0.0730616760395
EMI05,2026-05,22383,0.136934280481,0.0250189876245,0.127686190412,0.263458875039,0.372246794442,0.0746548720011
EMI05,2026-06,21648,0.133869179601,0.022034368071,0.0949741315595,0.12684774575,0.545870288248,0.0764042867701
